"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PCDH9",1.57338051502764e-104,-1.72457438127994,0.945,1,4.09015998686586e-100
"ASPH",1.17608692069597e-81,-1.88268228172171,0.429,0.923,3.05735555904124e-77
"CADM2",1.55118589843607e-75,-1.39338730941614,0.78,0.996,4.0324628615744e-71
"RPS6KA2",6.75637700004731e-74,-1.5559823189923,0.646,0.957,1.7563877649323e-69
"NTM",2.83137148595388e-72,-1.12570007220083,0.929,0.999,7.36043331488571e-68
"SYNE1",7.69540009549789e-70,-1.41899782637804,0.705,0.977,2.00049620882563e-65
"ADGRB3",1.15420252672187e-67,-1.25211134627992,0.783,0.993,3.00046488846618e-63
"ACOT11",1.21429239055098e-61,-1.60208545086956,0.366,0.877,3.15667449847633e-57
"AL589740.1",5.72907698051047e-61,-1.61289835252315,0.457,0.922,1.4893308518535e-56
"LINGO1",1.25451364812614e-60,2.16631420751552,1,0.955,3.26123367966871e-56
"NAMPT",3.62272747149177e-60,2.52597007569064,0.567,0.144,9.41764233489001e-56
"MRVI1",4.99452577387354e-60,-1.84303149927306,0.272,0.794,1.29837692017616e-55
"HIF3A",2.08369168709796e-59,-1.76193703120766,0.205,0.789,5.41676490977986e-55
"PDE4DIP",3.31578115751059e-58,-0.917457974857663,0.598,0.931,8.61970469706454e-54
"SLC9A9",1.30055801211067e-55,-1.68904166321734,0.35,0.819,3.38093060828289e-51
"ANKDD1A",3.06384955930795e-53,-1.63207583060041,0.224,0.752,7.96478331437695e-49
"CADPS",6.7048517683138e-53,2.58435042654377,0.685,0.287,1.74299326569086e-48
"LINC00499",5.09524983584005e-52,-2.2634159848184,0.154,0.677,1.32456114732498e-47
"DGKG",1.86658199258433e-51,-1.36618327745926,0.465,0.888,4.85236654792222e-47
"MAPT",3.34976786326303e-51,-1.57677858028624,0.323,0.798,8.70805653733856e-47
"ATP2B2",1.04864547118066e-49,-1.60690498012323,0.118,0.666,2.72605876688124e-45
"SCG2",1.42866219750464e-49,1.75363083501773,0.283,0.02,3.71395024863306e-45
"MEF2C-AS1",2.31232165067571e-49,-1.34711407027957,0.193,0.754,6.01111136309658e-45
"ENSA",8.120660181027e-49,-1.52994039660124,0.201,0.721,2.11104682065978e-44
"RASGEF1B",1.84143895170805e-48,1.82243620207964,1,0.955,4.78700469886026e-44
"NRXN1",3.28287810429202e-48,-1.11102283175603,0.85,0.994,8.53416991991755e-44
"CNTN1",1.43690622739336e-47,-1.33303880258573,0.508,0.892,3.73538142873178e-43
"CRB1",1.63014121445675e-47,-1.47882241641447,0.283,0.777,4.23771510110178e-43
"HMGB1",4.35922014186464e-47,-1.62631227708728,0.429,0.822,1.13322286807913e-42
"SLC7A11",2.32334532296643e-46,-1.54617891109432,0.409,0.821,6.03976850158353e-42
"TRPM3",2.98996624150168e-46,-1.61493963886463,0.449,0.866,7.77271624140775e-42
"NTRK3",3.87584109800571e-46,-1.20285513184897,0.618,0.911,1.00756365183757e-41
"BCL6",7.60235329632266e-46,-1.75196793318644,0.555,0.827,1.97630776291204e-41
"MAGI2",1.83187952913039e-45,-1.0322752226834,0.791,0.983,4.76215402392736e-41
"CTNNA2",7.33922062177722e-45,-0.996030056416181,0.898,1,1.90790379283721e-40
"ELL2",3.09958654350278e-44,2.33441001251719,0.634,0.269,8.05768517848982e-40
"CDHR3",4.02736459907196e-43,-1.37244183113814,0.39,0.814,1.04695370117475e-38
"MMD2",1.58639524006806e-41,-1.45652834588019,0.327,0.793,4.12399306608093e-37
"BCKDHB",4.33825337853281e-41,-1.35296733688446,0.303,0.735,1.12777234828339e-36
"SLC39A11",4.45975142777819e-41,-1.33353793731926,0.378,0.788,1.15935698116522e-36
"SAT1",8.50243215864603e-41,2.01822889393906,0.587,0.245,2.21029226396162e-36
"GPM6A",4.28063280384408e-40,-0.786424990225692,0.976,0.999,1.11279330368731e-35
"GAP43",1.12688785847188e-39,1.15991800213297,0.248,0.022,2.92945767688349e-35
"CABLES1",9.05180879084634e-39,-1.32454917093392,0.5,0.847,2.35310821326841e-34
"RORA",1.39616168520401e-38,-0.790585492373914,0.909,0.999,3.62946191685634e-34
"SLC26A3",5.49441625028753e-38,2.15046388553203,0.98,0.918,1.42832844842475e-33
"FAM107A",8.5182327478706e-38,-1.36681696459593,0.441,0.801,2.21439978513644e-33
"ANXA2",1.15930214031291e-37,0.796521641933683,0.22,0.016,3.01372184395743e-33
"PARD3B",3.50875100711992e-37,-0.960571934938902,0.681,0.922,9.12134911810895e-33
"DTNA",1.08906621892228e-36,-0.77215462810859,0.957,1,2.83113654271037e-32
"WWOX",2.42946670315676e-36,-1.01046240929726,0.689,0.964,6.31564164152631e-32
"SPP1",2.49502194551438e-36,0.964407793941772,0.22,0.017,6.48605904955917e-32
"FOS",3.03320816015717e-36,1.04299776487948,0.35,0.069,7.88512793314459e-32
"LINC01748",6.83157274993437e-36,-1.37006666257302,0.157,0.618,1.77593565207294e-31
"GABRB1",1.12074044718158e-35,-0.966115883597456,0.571,0.92,2.91347686649325e-31
"WWTR1",2.0206890483003e-35,1.75399144709153,0.665,0.36,5.25298324996147e-31
"KIAA1755",3.79454057898033e-35,-1.19551277258579,0.169,0.622,9.86428768911728e-31
"STXBP5",1.41183873572585e-34,-1.1135813303909,0.453,0.804,3.67021597739291e-30
"TMEM161B-AS1",2.38192486721742e-34,-1.07587503187337,0.409,0.793,6.19205188481841e-30
"GPC5",7.37917450124813e-34,-0.767584611943326,0.969,0.999,1.91829020334446e-29
"MACROD2",1.08643803171104e-33,-1.26046666112299,0.504,0.807,2.82430430723603e-29
"RFX4",3.76939980807427e-33,-0.916565648509148,0.61,0.918,9.79893174106988e-29
"CACNB2",5.25387547911371e-33,1.56523177678431,0.906,0.923,1.3657974695504e-28
"IQCA1",1.70083783158637e-32,-1.32786644387724,0.193,0.607,4.42149802699192e-28
"AC091826.2",2.59094870754572e-32,-1.296816442069,0.138,0.563,6.73543026013586e-28
"RYR3",5.93894671535437e-32,-0.638075238351496,0.909,0.994,1.54388858812352e-27
"BAALC-AS1",6.06177176207904e-32,-1.85538135214919,0.13,0.524,1.57581818727007e-27
"ARHGAP26",1.70452611765116e-31,-0.959462696532527,0.476,0.818,4.43108609544595e-27
"EPHA6",1.87729631463005e-31,-1.22617336735611,0.291,0.686,4.88021949951228e-27
"CAMK2G",3.6115333108758e-31,-0.953876466968021,0.472,0.867,9.38854199495273e-27
"CD44",3.9916196881918e-31,1.24358396159403,0.642,0.313,1.03766145414234e-26
"GPR75-ASB3",5.5034053502962e-31,-1.11448354583795,0.291,0.697,1.430665254863e-26
"NRG3",1.4718654322641e-30,-0.535504288267395,0.98,1,3.82626137771377e-26
"SMARCA2",1.48669090191638e-30,-0.997421443496454,0.402,0.755,3.86480166862182e-26
"ERBB4",2.55945105932631e-30,-0.700971580190602,0.811,0.981,6.65354897382469e-26
"ZBTB20",3.01398828569369e-30,-0.639217097783557,0.89,0.989,7.83516394748931e-26
"DNAH7",6.6790407683047e-30,-1.17764004543842,0.402,0.746,1.73628343812849e-25
"FAM189A2",7.29957702447388e-30,-1.03081642473449,0.48,0.798,1.89759804328223e-25
"SLC14A1",9.66423056456545e-30,-1.39178741678495,0.134,0.537,2.51231337756444e-25
"FGF1",1.26372579371574e-29,1.38580275856832,0.634,0.338,3.28518157334344e-25
"DPP10",1.55061416980377e-29,-1.6225605218708,0.516,0.844,4.03097659582187e-25
"PRKG1",2.06875235930467e-29,-1.01646976467062,0.61,0.886,5.37792863324843e-25
"DAAM1",2.25099302188422e-29,-1.13061262781339,0.52,0.782,5.85168145969021e-25
"ABCC9",2.72327699601671e-29,-1.29421382698956,0.154,0.539,7.07943087884505e-25
"EYA2",3.97490505740468e-29,-0.945703623544116,0.476,0.823,1.03331631872292e-24
"LPIN1",2.6302498770137e-28,-0.92564404657641,0.315,0.719,6.83759758028481e-24
"ADCY2",9.9734736305796e-28,-0.732754340826447,0.846,0.965,2.59270420500547e-23
"ZNF98",2.61191473758221e-27,-1.17650648228299,0.409,0.769,6.78993355181871e-23
"GALNT10",3.53709729325173e-27,1.42516474899299,0.504,0.224,9.1950381235372e-23
"CLEC16A",4.27267126759234e-27,-0.956054804997766,0.409,0.75,1.11072362272331e-22
"AC037459.2",1.73741604871822e-26,-1.07153661917461,0.055,0.411,4.5165867602479e-22
"PTCHD1-AS",2.19081333013839e-26,-0.990392117323253,0.488,0.848,5.69523833302776e-22
"MED12L",2.25036182896118e-26,-0.863148064266716,0.626,0.869,5.85004061056748e-22
"CAMTA1",2.53560685367882e-26,-0.829440274837293,0.622,0.885,6.59156357682345e-22
"TUBB2B",2.59288427478554e-26,1.8797866448243,0.425,0.164,6.7404619607325e-22
"EPHB1",3.41386200333479e-26,-1.13399028441992,0.331,0.68,8.87467566386912e-22
"TENM2",3.95354514861665e-26,-1.45189934736912,0.354,0.687,1.02776359683438e-21
"ALDH1A1",4.19175225043879e-26,-1.38600174058192,0.094,0.444,1.08968791502407e-21
"LRP1B",4.32709302996831e-26,-0.573466476997571,0.961,0.999,1.12487110407056e-21
"UBE2H",4.35410613030919e-26,1.23477028225597,0.776,0.568,1.13189342963518e-21
"ERBIN",1.57022583908108e-25,-0.77726174855339,0.717,0.899,4.08195909127518e-21
"SYT17",1.8034251250836e-25,-1.01710502274364,0.417,0.75,4.68818395516733e-21
"MYOM1",1.97124719928321e-25,-1.11515939032319,0.106,0.465,5.12445421925663e-21
"LYVE1",2.17210220707066e-25,-1.09695294008567,0.043,0.381,5.6465968975009e-21
"CEBPD",2.24045471086517e-25,1.05660385357615,0.272,0.061,5.82428606636509e-21
"PSD2",2.24224770556504e-25,-0.970729567463029,0.142,0.512,5.82894713538688e-21
"SLC13A3",2.74900988127754e-25,-1.13960177841884,0.161,0.514,7.1463260873691e-21
"MAP1B",5.33640840531353e-25,1.44713311696659,0.543,0.258,1.38725272904531e-20
"ANO5",7.10041884541307e-25,-0.995025044769194,0.169,0.546,1.84582488305358e-20
"FAM19A5",9.31771996574096e-25,-0.928008552674174,0.264,0.636,2.42223448229402e-20
"GADD45B",1.25974248625636e-24,0.994407525546651,0.236,0.046,3.27482656727204e-20
"NAV3",1.36960824867702e-24,-0.765391114405096,0.74,0.94,3.56043360326079e-20
"EFEMP1",1.74801639166126e-24,-0.789645933102194,0.445,0.824,4.54414341176262e-20
"ACSS1",2.20766376621684e-24,-0.943675046659778,0.323,0.674,5.73904272665729e-20
"INO80D",2.4088563610402e-24,1.51354473536937,0.969,0.894,6.26206299616011e-20
"MCUB",2.65581609378333e-24,0.539844494360433,0.177,0.021,6.90405951739914e-20
"LINC00461",2.98107366299961e-24,-0.914736143131479,0.504,0.786,7.74959909433379e-20
"KCNMA1",3.47855081387926e-24,-0.51202510320162,0.764,0.95,9.04284069576053e-20
"PHACTR3",5.96694405743641e-24,-0.786641972291024,0.65,0.89,1.55116677717117e-19
"GARNL3",6.76878134995245e-24,-0.984860437932982,0.236,0.598,1.75961239973364e-19
