"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC026316.5",2.89019140041437e-185,-1.98444825556643,0.51,0.936,7.51334156451719e-181
"CTNNA3",7.3295449568639e-182,-1.2073278785507,0.914,0.999,1.90538850698634e-177
"LDLRAD3",6.3548114195917e-158,2.23434908467344,0.754,0.174,1.65199677663706e-153
"OPALIN",1.36344516305043e-146,-1.4598449545738,0.128,0.644,3.54441204586589e-142
"LINC00862",2.23817036702677e-144,-1.71328208546786,0.096,0.565,5.8183476861228e-140
"SLCO1A2",4.20021155177894e-141,-1.5067729995944,0.33,0.808,1.09188699500045e-136
"ADARB2",1.64278806444162e-137,-1.46845938064603,0.176,0.698,4.27059185232244e-133
"PPP2R2B",1.31719944953052e-136,-1.08787023279345,0.933,0.993,3.42419168899953e-132
"TMEM144",2.94437911499729e-132,-1.26724204387189,0.647,0.95,7.65420794734694e-128
"KCNAB1",2.01707219789601e-123,-1.85556849612471,0.091,0.508,5.24358088565047e-119
"GSN",2.89636566191683e-120,1.73030082721489,0.849,0.615,7.52939217471899e-116
"CLDND1",1.45380326618474e-111,-1.36047255498759,0.327,0.757,3.77930697077384e-107
"IL1RAPL1",1.27024529218225e-107,-0.668596320582134,0.993,1,3.30212966155698e-103
"SAMD4A",1.99848601132887e-105,2.1014308298556,0.566,0.107,5.19526423505053e-101
"CCP110",2.38196304859073e-100,-1.19895854697526,0.367,0.787,6.19215114111645e-96
"CCDC88A",9.55350947659499e-100,-0.956057818909787,0.823,0.974,2.48353032353563e-95
"KCNH8",4.05459557242227e-98,-1.02434683134478,0.611,0.92,1.05403266500689e-93
"PIP4K2A",9.1351387240593e-97,-0.775026450080196,0.93,0.992,2.37477066270645e-92
"PCDH9",5.4665896946172e-94,-0.755668776915719,0.995,1,1.42109465701269e-89
"PALM2",3.24820452494733e-93,-1.23819801557081,0.414,0.805,8.44403248305309e-89
"CCNH",1.34991543332641e-91,-1.23369240874255,0.389,0.764,3.50924016047534e-87
"AL078639.1",7.13874493371917e-88,-0.877781741775733,0.037,0.33,1.85578813296964e-83
"GK5",3.14822942130117e-86,1.76910362500065,0.492,0.096,8.18413720361452e-82
