"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SOX5",3.35986822740462e-15,-1.53021920047933,0.561,0.93,8.73431344396105e-11
"LINGO1",8.18202168808378e-12,1.56167538968074,1,0.987,2.12699835803426e-07
"INPP4B",2.82151872337088e-11,-1.59920800260352,0.456,0.809,7.33482007327493e-07
"PTPRK",1.41094864176891e-10,-0.943969314075702,0.702,0.936,3.66790208914245e-06
"SPOCD1",1.54717171674764e-10,0.759069235805826,0.246,0,4.02202759485716e-06
"ADGRB3",2.90330004383531e-10,-1.71875729564822,0.579,0.841,7.54741879395427e-06
"GPC5",4.66278641694377e-10,-2.31849375900691,0.281,0.764,1.2121379569487e-05
"LRRTM4",4.86385216765222e-10,-2.0809923322838,0.404,0.771,1.26440700950287e-05
"ADGRL2",5.19222933440437e-10,-1.35312039130609,0.509,0.809,1.34977193777176e-05
"CHL1",5.94187348885928e-10,-1.32861739768906,0.175,0.662,1.54464943216386e-05
"ZNF385B",7.26319796207117e-10,-1.38051258877891,0.386,0.783,1.88814094222002e-05
"CADPS2",1.386777457512e-09,-1.31358852720715,0.667,0.873,3.6050666785482e-05
"LINC00486",1.39761191989056e-09,1.24792836205888,0.86,0.803,3.63323194694749e-05
"PCDH17",1.62436491583489e-09,-0.85606162267387,0,0.452,4.22269903520438e-05
"GRIK2",1.80753826483393e-09,-1.76603617067919,0.351,0.713,4.69887647326227e-05
"TSC22D1",2.15022598310692e-09,-1.18164323345919,0.509,0.885,5.58972746568474e-05
"CNTN4",2.16233611567591e-09,-1.61126380009463,0.421,0.739,5.62120896631108e-05
"CNTN1",2.88356044094629e-09,-1.34855389820028,0.421,0.732,7.49610372228398e-05
"UNC5C",3.16848917013962e-09,-1.78394163515828,0.474,0.726,8.23680444669496e-05
"KCNIP4",3.95104099403033e-09,-1.680569330119,0.526,0.834,0.000102711261680812
"KCND2",4.73521965384858e-09,-1.82012682808078,0.298,0.675,0.000123096770121448
"ANKRD26",4.88564476185165e-09,-0.965667209837661,0.246,0.694,0.000127007221229096
"KCTD1",5.35934768032678e-09,-1.23250099582359,0.298,0.694,0.000139321602297775
"PPFIA2",5.39475759691941e-09,-1.53861146158692,0.439,0.707,0.000140242118489517
"PDZRN4",8.67960245309509e-09,-1.86167941049098,0.281,0.662,0.00022563494537066
"MMP16",8.89310694300729e-09,-1.65519012649921,0.456,0.713,0.000231185208090418
"SYNPR",9.28230079468042e-09,-1.8788660145893,0.281,0.65,0.000241302691458512
"SPARCL1",1.10819581843263e-08,-1.01355654806924,0.386,0.86,0.000288086584959745
"LRRTM3",1.17935296686871e-08,-1.33012214362988,0.193,0.611,0.00030658459726719
"PER3",1.25556101131505e-08,-0.832983359063009,0.158,0.624,0.000326395640501462
"MAPK10",1.32333991819269e-08,-1.22789586911171,0.579,0.79,0.000344015445133371
"MEF2C",1.49201266057047e-08,-0.498349553873783,0.561,0.879,0.0003878636112419
"TRHDE",1.67984395978356e-08,-1.56936853566627,0.263,0.643,0.000436692235785335
"NRXN1",1.89750554815854e-08,-1.61538811390212,0.526,0.745,0.000493275542299294
"NELL2",2.03169822194396e-08,-1.54068230661891,0.333,0.656,0.000528160269776553
"GPM6A",2.16137526975446e-08,-1.34091284618712,0.474,0.79,0.00056187111512537
"DPP10",2.42579661462815e-08,-1.7802594526245,0.509,0.739,0.000630610087938734
"GRIA4",3.13900671146169e-08,-1.3203270549488,0.368,0.675,0.000816016184711581
"LSAMP",3.16739701103215e-08,-1.71992425958506,0.544,0.771,0.000823396526987917
"DLG2",3.41760751314381e-08,-1.35421253756413,0.807,0.885,0.000888441249116865
"ZNF804A",4.08948428240119e-08,-1.88404857522623,0.333,0.656,0.00106310233405301
"PHF3",4.43048021745842e-08,-0.691511283382133,0.211,0.688,0.00115174763733049
"CSMD3",4.59614757984468e-08,-1.43707918751988,0.404,0.688,0.00119481452485642
"GPR63",5.12045505880004e-08,-0.762870593552039,0.105,0.535,0.00133111349708566
"ATP8A1",5.18583971777039e-08,-1.15030601607422,0.263,0.631,0.00134811089303159
"CDK14",5.37754714365792e-08,-1.11586483165647,0.509,0.796,0.00139794715546531
"TIMP1",5.75105483779904e-08,1.38279313830021,0.263,0.025,0.00149504421563424
"OLFM3",6.48197869659468e-08,-1.2797623909544,0.211,0.611,0.00168505518196675
"PDE4D",6.78098891511621e-08,-0.871684551643488,0.772,0.949,0.00176278587837361
"CNTN6",7.37272777462822e-08,-1.01491027321129,0.14,0.554,0.00191661431229235
"GABRB2",8.92726782972626e-08,-1.30744976842112,0.263,0.631,0.00232073254501564
"MARCH1",9.5224103388843e-08,-1.40273386638251,0.333,0.694,0.00247544579169636
"SPSB1",9.91887295361351e-08,1.46173740905634,0.281,0.038,0.00257851021302137
"PTPRQ",1.0898744131094e-07,-0.882270945101909,0.053,0.459,0.00283323752431919
"SYT1",1.12121842027332e-07,-1.73194572032385,0.509,0.713,0.00291471940534252
"MAP2",1.20879859951909e-07,-0.866438952871496,0.509,0.834,0.00314239283930982
"FUT9",1.51327739527491e-07,-1.27965037003144,0.246,0.631,0.00393391591675664
"NPY1R",1.54287326644014e-07,-0.744197815575139,0.105,0.522,0.00401085334343778
"RALYL",1.62093253719705e-07,-1.44584089655081,0.439,0.72,0.00421377622369746
"PCLO",1.68963381916023e-07,-1.31297310190419,0.404,0.707,0.00439237207628895
"ZNF804B",1.70724383429697e-07,-1.91085497055732,0.333,0.637,0.00443815107163839
"SGIP1",1.7086637824419e-07,-1.19841552975358,0.474,0.796,0.00444184236883596
"RIT2",1.8198913240484e-07,-1.48886809810932,0.281,0.624,0.00473098948599623
"CADM2",1.96226081779913e-07,-1.48958734267935,0.596,0.777,0.00510109322195063
"FAM20A",1.98102912519973e-07,1.16203424657929,0.246,0.025,0.00514988331386923
"PDE3B",1.98457259931352e-07,-0.905300839856113,0.211,0.643,0.00515909492917543
"RCAN2",2.03624682820185e-07,-1.17976571948091,0.316,0.669,0.00529342725459353
"PCDH9",2.11263617962522e-07,-1.56429814434017,0.649,0.79,0.00549200901255372
"MIR137HG",2.19341503350594e-07,-1.21878848524978,0.228,0.58,0.00570200172110204
"MARCH4",2.26667609345859e-07,-0.537193111422966,0.035,0.408,0.00589245117255494
"MCTP1",2.32226580896118e-07,-1.22576836420162,0.333,0.688,0.00603696219697547
"ATRNL1",2.52501647293759e-07,-1.3326139044476,0.579,0.732,0.00656403282304857
"NEGR1",2.69809394214548e-07,-1.29645721240948,0.456,0.726,0.0070139650120014
"HACE1",2.84747598105808e-07,-0.853345091375141,0.246,0.662,0.00740229856035858
"LRRK2",2.93261269984503e-07,-0.599456302610158,0.14,0.567,0.00762361997451714
"ASTN1",3.11389021920758e-07,-1.0915028503902,0.281,0.643,0.00809486901385203
"CPE",3.1998323618984e-07,-1.11657735781157,0.316,0.752,0.00831828420799108
"CA10",3.40586296123525e-07,-1.39021461031557,0.316,0.65,0.00885388135402716
"TSPYL1",3.57316560611529e-07,-0.515434573496859,0.07,0.484,0.00928880130965732
"AC019211.1",4.10525360276843e-07,-0.987174554865066,0.123,0.516,0.0106720172657568
"CNTNAP5",4.15926242011312e-07,-1.32072425310673,0.386,0.688,0.0108124185873261
"KCNJ3",4.40185618980951e-07,-1.11749879509109,0.211,0.58,0.0114430653510288
"GABRA1",4.47639846554205e-07,-0.495317121582461,0.018,0.382,0.0116368454510231
"CDH12",4.7102638511357e-07,-1.65070196347304,0.439,0.662,0.0122448019074124
"ADAM12",5.09179225641747e-07,2.6998075970598,0.526,0.242,0.0132366231497829
"CEP63",5.28187889817173e-07,-0.669289743615267,0.158,0.561,0.0137307723836872
"RGS7BP",5.37998067489732e-07,-0.756128915738165,0.14,0.548,0.0139857977624631
"HTR1E",5.38402749988669e-07,-0.918427918769601,0.07,0.452,0.0139963178887054
