"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NEGR1",0,-1.05044478746658,0.833,0.994,0
"OLFM3",0,-1.5358088255392,0.453,0.929,0
"PDE4DIP",0,1.19821506490604,0.967,0.974,0
"NRXN1",0,-1.03702364398452,0.92,0.999,0
"LRRTM4",0,-1.40835175698126,0.868,0.998,0
"KCNJ3",0,-1.09062712363891,0.496,0.923,0
"CADM2",0,-0.989169433363975,0.941,0.999,0
"KCNIP4",0,-1.13125854116738,0.982,1,0
"RASGEF1B",0,2.04552540889381,0.995,0.992,0
"MAPK10",0,-0.899585993646927,0.815,0.987,0
"TMEM232",0,-1.28850073244442,0.408,0.904,0
"ADGRB3",0,-0.931745472833843,0.965,1,0
"KCNQ5",0,-1.09496794544598,0.837,0.994,0
"MAGI2",0,-1.16564747201372,0.875,0.998,0
"AC006148.1",0,-1.27938116682276,0.207,0.765,0
"RALYL",0,-1.01969333416812,0.871,0.996,0
"GRM5",0,-1.00209919170363,0.77,0.984,0
"CAMK1D",0,1.57747075889727,0.987,0.966,0
"LRRTM3",0,-1.27967040681679,0.5,0.929,0
"ATRNL1",0,-1.16690136312346,0.85,0.994,0
"CNTN1",0,-1.18301293370453,0.662,0.981,0
"SYT1",0,-1.03025934126799,0.949,1,0
"LINGO1",0,2.42143235444575,0.998,0.987,0
"PCDH9",8.50210950903258e-302,-0.774211145508104,0.972,0.999,2.21020838796811e-297
"CNTNAP5",5.69347839578496e-301,-1.29980313074969,0.647,0.967,1.48007664376826e-296
"SLC26A3",4.56174910935142e-299,2.46299816559436,0.988,0.961,1.18587229846699e-294
"TUBA1B",1.58817897793775e-297,-1.0683768726896,0.202,0.769,4.12863007104697e-293
"NPTX2",3.67734979602642e-297,2.49952137399131,0.53,0.105,9.55963852975028e-293
"RAB11FIP3",1.80906526943158e-296,1.52381690017681,0.851,0.753,4.70284607441434e-292
"GABRB2",6.44937497773456e-290,-0.993252919859778,0.599,0.946,1.67657951921188e-285
"IGSF9B",6.74818650400219e-287,2.00144012779581,0.783,0.571,1.75425856358041e-282
"NBEA",1.41170252278975e-282,-0.807340336674664,0.817,0.987,3.66986187824422e-278
"SNTG1",1.55033415645453e-275,-1.20461099654089,0.675,0.976,4.03024867311918e-271
"LINC00486",1.05749147415476e-271,1.68850739119727,0.898,0.804,2.74905483621271e-267
"LINGO2",5.41831169988299e-270,-1.09085004101668,0.726,0.958,1.40854430950158e-265
"FBXL17",3.59464459923584e-268,-0.94367518973626,0.615,0.95,9.3446381001735e-264
"ADGRL2",1.70794388622306e-265,-1.07770052653115,0.661,0.962,4.43997092662546e-261
"CADPS",8.95547460044096e-265,-1.00546357290116,0.623,0.94,2.32806517713063e-260
"PTPRD",1.182104450643e-261,-0.892700300335296,0.939,0.999,3.07299872989153e-257
"ANO5",1.64041937208703e-259,-0.905884920589503,0.316,0.824,4.26443419967743e-255
"STXBP5-AS1",5.76770617780327e-259,-1.15123388529908,0.342,0.82,1.49937289798174e-254
"SCN1A",1.13627285827864e-257,-1.01440802891287,0.446,0.923,2.95385492238115e-253
"SAMD12",1.48176350479442e-257,-0.898950633627858,0.621,0.953,3.85199240706358e-253
"CDH10",3.49040798738408e-257,-1.10310177516543,0.437,0.875,9.07366460400364e-253
"FGF14",2.08983590983068e-256,-0.765355853197605,0.92,0.997,5.43273743119585e-252
"ATP8A1",2.30604415620542e-255,-0.910826166741835,0.524,0.921,5.9947923884716e-251
"PCLO",4.94189695987362e-249,-1.00944635654961,0.701,0.986,1.28469553368875e-244
"PDE4D",1.05137005685271e-244,-0.732178491034518,0.939,0.996,2.73314159979431e-240
"ANKS1B",1.14208598106857e-244,-0.593408513115291,0.966,0.999,2.96896671638586e-240
"NAV3",7.89221765908323e-241,-0.777004365789466,0.895,0.998,2.05166090265528e-236
"HS3ST2",2.713848978086e-235,2.28615714931767,0.709,0.415,7.05492180343236e-231
"KHDRBS2",4.13351980712371e-233,-0.895591535024511,0.821,0.988,1.07454980905988e-228
"OXR1",1.5354187590875e-231,-0.922012646806601,0.68,0.963,3.99147460612387e-227
"PDZRN3",7.92655830043483e-231,-0.979736639346369,0.497,0.904,2.06058809578104e-226
"INO80D",6.12737225289699e-229,1.92163547368072,0.98,0.968,1.5928716908631e-224
"FGF12",2.83066519469603e-228,-0.797377789907391,0.794,0.987,7.35859724013181e-224
"CNTN5",7.37691728200493e-227,-1.43074475524133,0.539,0.894,1.91770341663e-222
"GAB1",2.18131147352981e-226,-1.04143188249846,0.303,0.752,5.6705373065881e-222
"TSPYL1",6.01989879435339e-226,-0.799128020530292,0.186,0.706,1.56493289058011e-221
"CHSY3",7.84394664556838e-226,-0.962982678136276,0.622,0.951,2.03911236998196e-221
"CSMD3",4.22444492454136e-225,-0.73752225816722,0.806,0.987,1.09818670258377e-220
"PTPRK",1.34575528464122e-217,-1.1938008394161,0.598,0.904,3.49842543795331e-213
"TBCK",8.87379351189018e-215,-0.805851177797639,0.411,0.857,2.30683136135097e-210
"MYRIP",5.9627150676445e-214,-0.936964509512337,0.481,0.886,1.55006740898486e-209
"MMP16",2.22626867517469e-213,-0.904260690450813,0.538,0.915,5.78740804798411e-209
"AP001347.1",4.22983233193483e-211,-0.968813255564746,0.282,0.751,1.09958721300978e-206
"MEF2C",7.49105196840308e-211,-0.755938232919148,0.734,0.968,1.94737386970607e-206
"PLEKHA1",8.00384537196887e-211,-0.791791201664415,0.344,0.78,2.08067964289703e-206
"CADPS2",1.45116983035349e-210,-0.983519305985663,0.557,0.939,3.77246109098694e-206
"SLC4A10",3.52533683006268e-206,-0.750433464103118,0.721,0.976,9.16446562343095e-202
"PLCB1",3.33608981557225e-204,-0.548044730863492,0.902,0.991,8.67249908456162e-200
"LINC00882",2.22050643316528e-203,-0.871300393440991,0.454,0.872,5.77242852365645e-199
"ADGRB2",1.23168431411585e-201,1.49359099520413,0.67,0.388,3.20188654297555e-197
"CHN1",1.70672470450456e-200,-0.699701403972748,0.655,0.96,4.43680154183006e-196
"HTR1E",3.9042415367692e-200,-0.786697263761811,0.274,0.744,1.01494662989852e-195
"GRIK2",5.65806657055222e-200,-0.973465274497813,0.691,0.949,1.47087098568076e-195
"CLVS2",8.80671649700368e-198,-0.683828002704849,0.24,0.687,2.28939402056108e-193
"ZNF385B",1.31826561296392e-196,-0.870740692942599,0.575,0.936,3.426963287461e-192
"DUBR",6.79725155898932e-196,-0.697172821955371,0.21,0.654,1.76701351527486e-191
"CDH18",1.38060306669337e-195,-0.85751514080535,0.729,0.972,3.58901573217609e-191
"TAPT1-AS1",6.41743997244518e-195,-0.693586457103773,0.281,0.739,1.66827769523685e-190
"SPTBN4",2.58614495676861e-194,0.982896583319908,0.896,0.904,6.72294242961568e-190
"PPP3CA",3.70143330579976e-194,-0.671220121754039,0.813,0.987,9.62224602175705e-190
"NOVA1",3.98526848170264e-194,-0.823500437313711,0.531,0.911,1.03601039450342e-189
"AQP4-AS1",4.33290040298939e-194,-0.971235472808671,0.343,0.769,1.12638078876112e-189
"PDE1A",3.85093661133442e-193,-0.944218832257614,0.563,0.928,1.0010894814825e-188
"SLITRK5",6.66523871617746e-193,-0.741047221756598,0.251,0.692,1.73269545665749e-188
"KIFAP3",2.16782938530975e-192,-0.701860058511488,0.377,0.803,5.63548927005124e-188
"THRB",3.68161863148153e-192,-0.752888037507315,0.702,0.96,9.57073579439938e-188
"RNPC3",5.66282503424158e-191,-0.711699869848939,0.408,0.852,1.47210799590144e-186
"PBX1",1.0642367710324e-190,-0.792335198782969,0.568,0.931,2.76658990997584e-186
"PPFIA2",1.30304775579732e-190,-0.735451043198324,0.807,0.985,3.38740294597072e-186
"ST6GALNAC5",1.35474739490183e-190,-0.860526021062909,0.654,0.943,3.52180132778681e-186
"MROH1",4.24147760578996e-190,1.39496170189653,0.784,0.692,1.10261451840116e-185
"ZBBX",1.44765721752034e-188,-0.91278496244429,0.208,0.639,3.76332970266588e-184
"MTX2",2.53576095712328e-188,-0.607745651536994,0.235,0.666,6.59196418413767e-184
"C2CD5",5.30351234964289e-188,-0.737516492197022,0.501,0.891,1.37870107041317e-183
"HMGCLL1",6.88047406521502e-188,-0.682707955586618,0.204,0.643,1.7886480379933e-183
"NECAB1",8.51144333268774e-188,-0.879898680828266,0.474,0.856,2.2126348087655e-183
"AC124854.1",9.20438183098483e-188,-0.751920554209604,0.138,0.562,2.39277110078282e-183
"MEF2C-AS1",9.26084226996068e-188,-0.859134810703843,0.41,0.817,2.40744855649898e-183
"GRM1",1.06514138958872e-186,-0.82282272099921,0.386,0.819,2.76894155637484e-182
"GALNT17",5.71424050494795e-186,0.958843776805761,0.959,0.953,1.48547396166627e-181
"SNAP91",3.92636915773297e-185,-0.762450554469829,0.611,0.946,1.02069892624426e-180
"DNM1",2.24494348988714e-183,1.04804507834529,0.849,0.851,5.83595509631062e-179
"FAM19A2",6.06201792298641e-183,-0.915556444298415,0.739,0.963,1.57588217925955e-178
"CCDC91",1.01613049332216e-182,-0.797148114316009,0.353,0.774,2.64153283044028e-178
"SERPINI1",4.27672749915854e-181,-0.735688080261572,0.396,0.816,1.11177808068125e-176
"ZMYND8",8.69320183778519e-181,1.20301060178862,0.838,0.863,2.25988474975064e-176
"AL078639.1",1.90968667488119e-180,-0.774126756792879,0.307,0.756,4.96442148002113e-176
"CNTNAP2",3.68887343505757e-179,-0.729680481905703,0.937,0.997,9.58959538177566e-175
"CEP290",6.11661233955987e-178,-0.692713579808199,0.386,0.829,1.59007454379198e-173
"UBA6-AS1",1.82402089545416e-177,-0.871332689124468,0.317,0.748,4.74172471982263e-173
"AKAP11",1.08631359206964e-176,-0.589370300618964,0.335,0.771,2.82398081394424e-172
"TBC1D5",7.55327612585441e-176,-0.746430945081487,0.54,0.928,1.96354966167711e-171
"CCDC85A",1.45794425581661e-175,-0.956417042367002,0.375,0.778,3.79007188742087e-171
"MDGA2",5.83255850195392e-175,-0.802382113950153,0.819,0.976,1.51623190816794e-170
"CAPS2",7.11790826875769e-175,-0.663172754376058,0.249,0.677,1.85037143354625e-170
"MALAT1",9.39331823896733e-175,0.483611226772346,1,1,2.44188700940195e-170
"DPH6-DT",1.00307494395762e-174,-0.758589578404231,0.141,0.543,2.60759362431223e-170
"MLIP",2.74428748590465e-174,-0.790572026728816,0.519,0.877,7.13404974835773e-170
"ABR",7.96415166541806e-174,1.2689878160452,0.857,0.818,2.07036086694208e-169
"HLF",1.16536541621272e-173,-0.589988876392265,0.209,0.639,3.0294839359866e-169
"LMO3",5.20444248976783e-173,-0.692346517250898,0.356,0.779,1.35294686964004e-168
"PDGFC",1.02094734584697e-172,-0.63950571317117,0.119,0.527,2.65405472026378e-168
"SESN3",1.49243984292076e-172,-0.66397918887874,0.333,0.771,3.87974661565681e-168
"PRKACB",1.66117504588616e-172,-0.675778975841233,0.562,0.909,4.31839064928567e-168
"STAMBPL1",4.99926994665385e-172,-0.663704973028371,0.284,0.719,1.29961021533213e-167
"ME3",7.03643627969579e-172,-0.671097682723651,0.329,0.771,1.82919197526972e-167
"TMEM161B-AS1",2.8807094125449e-169,-0.811713032546264,0.532,0.903,7.48869218885172e-165
"ZNF365",3.5347008999527e-169,-0.921989207903148,0.375,0.774,9.18880845951703e-165
"CEP126",3.90436702246933e-169,-0.898137948612357,0.342,0.766,1.01497925116113e-164
"IMMP2L",4.2036778607721e-169,-0.809143232886715,0.52,0.89,1.09278809668631e-164
"DMD",2.29515028575159e-168,-0.697879349954015,0.824,0.982,5.96647268283983e-164
"PRKAA2",6.5456780367417e-168,-0.60368120675684,0.267,0.682,1.70161446243137e-163
"GPM6A",6.57016064949889e-168,-0.609270579055195,0.809,0.979,1.70797896244373e-163
"PDE3B",8.47734596075791e-168,-0.734249839561827,0.327,0.759,2.20377085595863e-163
"MIPOL1",2.94257292477808e-167,-0.638897223088283,0.334,0.771,7.64951257525309e-163
"KCND2",3.8693236444133e-167,-0.935552874902608,0.616,0.935,1.00586937460168e-162
"JARID2",3.92621348307449e-166,1.58280580058813,0.796,0.716,1.02065845706005e-161
"KCTD1",6.06029425824264e-166,-0.741931232846839,0.475,0.848,1.57543409537276e-161
"NELL2",7.50978140278269e-166,-0.645381627675622,0.771,0.969,1.95224277346739e-161
"PRELID2",7.81734047930304e-166,-0.857569105135695,0.091,0.475,2.03219583099962e-161
"NKAIN2",2.43350592720053e-165,-0.883190977693534,0.812,0.973,6.32614200835051e-161
"FUT9",3.3039308339287e-165,-0.730498683168106,0.471,0.877,8.58889859588105e-161
"PTPRS",3.97564334807132e-165,1.16997475176619,0.805,0.74,1.03350824476462e-160
"CDH12",3.59505298340303e-163,-1.03843591776845,0.614,0.87,9.34569973565453e-159
"KCNB2",9.55124957831038e-163,-0.87451273825694,0.516,0.855,2.48294284037757e-158
"SYT16",9.69576267127461e-163,-0.674017235923648,0.528,0.881,2.52051046402455e-158
"UMAD1",1.29288913655019e-162,-0.643312340375644,0.335,0.756,3.36099459937588e-158
"PRKAG2",4.98222299007606e-162,0.951473603494329,0.849,0.848,1.29517868850017e-157
"LSAMP",3.90136402029556e-161,-0.833078479859251,0.803,0.963,1.01419859071603e-156
"GLCCI1",1.19277181513835e-158,-0.717398512124531,0.452,0.856,3.10072961063366e-154
"TRANK1",5.44429487111447e-158,-0.576405799810914,0.345,0.777,1.41529889469492e-153
"CCDC7",9.09785102322113e-158,-0.636747800868729,0.269,0.682,2.36507735199657e-153
"CCDC30",1.31628219493899e-157,-0.613128921805382,0.366,0.788,3.42180719396339e-153
