"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINGO1",1.0822686935975e-247,1.86261920067651,0.996,0.945,2.81346569587605e-243
"PCLO",1.11806871692958e-178,-0.997396632846418,0.783,0.975,2.90653143653012e-174
"SYT1",7.24784222226103e-177,-0.98010765973723,0.875,0.973,1.88414906409898e-172
"AC006148.1",1.54902185593697e-161,-1.26145070968396,0.36,0.755,4.02683721669374e-157
"ADGRB3",2.0317297275991e-157,-0.713351220913709,0.941,0.999,5.28168459986661e-153
"IL1RAPL1",7.33789812473984e-150,-0.89432887680768,0.898,0.988,1.90755999650737e-145
"KCNC2",1.35593057528559e-144,-1.05140446946438,0.753,0.933,3.52487712351242e-140
"LINC00486",3.05677213701316e-144,1.44054145125933,0.855,0.691,7.94638484737942e-140
"KCNJ3",4.30667409837509e-140,-0.937497883761393,0.611,0.891,1.11956299861359e-135
"MALAT1",3.26512394331142e-139,0.807745631827629,1,1,8.48801620303236e-135
"MTRNR2L8",1.11111188446409e-138,-1.7363244331766,0.238,0.659,2.88844645485284e-134
"TSPYL1",7.91322676494887e-128,-0.714216297073797,0.113,0.494,2.05712242981611e-123
"MT-ATP6",1.61131994868381e-123,-0.941304047835561,0.726,0.978,4.18878733859843e-119
"GRIA4",2.88645028188818e-119,-1.16018466397124,0.576,0.853,7.50361615279652e-115
"GABRB2",4.47219528341313e-117,-0.819328706885527,0.679,0.897,1.16259188587608e-112
"CNTN1",3.97910567913419e-115,-0.683783198980144,0.74,0.956,1.03440831234772e-110
"PDE3B",9.21646275934714e-115,-0.872858974898447,0.404,0.763,2.39591165891988e-110
"MVD",7.54711039647722e-113,1.29018623448727,0.545,0.236,1.96194681866822e-108
"C2CD5",1.78164724613175e-110,-0.710050553633573,0.53,0.834,4.6315701810441e-106
"PER3",3.92696741137948e-110,-0.644053228838483,0.254,0.64,1.02085444826221e-105
"NAP1L3",1.16492973212848e-108,-0.578489166192431,0.125,0.489,3.0283513316412e-104
"ERBB4",3.3315277572102e-108,-1.0106007957504,0.879,0.933,8.66063955764364e-104
"SLC26A3",1.82997517720301e-106,1.7932134874156,0.973,0.916,4.75720347065695e-102
"MDGA2",4.25016590840691e-106,-0.662394563046166,0.851,0.963,1.10487312954946e-101
"RORA",2.31212803673679e-103,-0.748375509649228,0.778,0.964,6.01060804430096e-99
"LRRTM3",3.51445511003275e-103,-0.921915883077822,0.532,0.8,9.13617750404114e-99
"ADGRL2",4.46607721425021e-103,-0.960206738116983,0.518,0.813,1.16100143261649e-98
"CCSER1",4.17351167241115e-102,-0.615015884926058,0.925,0.996,1.08494609436e-97
"NKTR",1.15352944423874e-101,-0.705106750347774,0.65,0.9,2.99871514324302e-97
"ANKS1B",2.79662382881111e-99,-0.552881068122892,0.934,0.989,7.27010330537736e-95
"STXBP5-AS1",1.6069160176818e-98,-1.09243461765022,0.19,0.498,4.1773388795656e-94
"TET3",3.11224467942705e-98,1.93201498824392,0.657,0.45,8.09059126863856e-94
"RASGEF1B",6.31000109993819e-98,1.26614387807929,0.993,0.958,1.64034788593993e-93
"TSPYL4",7.19238534375315e-98,-0.467471779556118,0.095,0.416,1.86973249396207e-93
"SCN1A",7.70674816235538e-98,-0.768255653697491,0.596,0.854,2.0034462522859e-93
"GRIP1",2.85542606110222e-97,-0.687392838566884,0.926,0.985,7.42296558844133e-93
"HSP90AB1",3.05275374936457e-96,-0.493759446692135,0.344,0.75,7.93593864684815e-92
"MAGI2",7.65396217015386e-96,-0.670810920048761,0.921,0.993,1.9897240057532e-91
"MEF2C-AS1",8.57930692014661e-96,-0.841828472428245,0.512,0.798,2.23027662696131e-91
"LRRTM4",2.1196756916381e-95,-1.08816405471417,0.719,0.872,5.51030892798241e-91
"FBXL17",2.77515771641172e-95,-0.643220046527901,0.733,0.909,7.2142999995839e-91
"GRM5",1.00157108583728e-94,-0.783927654631036,0.669,0.87,2.6036841947426e-90
"SLC6A1",5.57947946241081e-94,-0.800624535253107,0.547,0.806,1.45044148104831e-89
"TUBA1B",1.38585478522682e-93,-0.59342602362504,0.171,0.505,3.60266809967565e-89
"KCND2",3.43055307129897e-92,-0.854953835418121,0.67,0.9,8.91806576414881e-88
"ADGRL3",9.82635433754519e-91,-0.659355070869246,0.847,0.98,2.55445907358825e-86
"SPTBN4",4.45941631902236e-89,0.859686674424256,0.904,0.809,1.15926986629305e-84
"AL078639.1",1.78782609943542e-88,-0.7271387215965,0.306,0.657,4.64763272809232e-84
"SLITRK5",1.85543833008597e-88,-0.563044515612707,0.168,0.482,4.82339748289149e-84
"IMMP2L",2.45661607401554e-88,-0.699133591334053,0.59,0.872,6.38621914601081e-84
"MT-CO2",8.75062447744e-88,-0.642831377581123,0.764,0.98,2.2748123391553e-83
"DIP2C",1.44806762363513e-87,0.744955190214926,0.889,0.88,3.7643965944019e-83
"DNM1",1.2561653979999e-86,0.956432406934501,0.834,0.736,3.26552756864055e-82
"HMGCLL1",4.33539400496875e-86,-0.629094833767931,0.205,0.517,1.12702902553168e-81
"FGF12",3.63799650797908e-85,-0.701846561785848,0.884,0.985,9.45733572214242e-81
"CSMD3",1.17613316668208e-84,-0.76081482554602,0.735,0.931,3.05747578010674e-80
"SERPINI1",2.66784994967222e-84,-0.822420623049749,0.311,0.612,6.9353427291679e-80
"KCNQ3",3.56787441910079e-83,0.919258049129734,0.909,0.88,9.2750463398944e-79
"MT-CO3",4.31026360754138e-83,-0.614876513099074,0.8,0.977,1.12049612741646e-78
"DHFR",4.36929405510396e-83,-0.480521950677719,0.505,0.881,1.13584168256483e-78
"CCDC88A",3.48200580377599e-82,-0.601759279389551,0.816,0.963,9.05182228749607e-78
"MT-CYB",4.04897352272218e-82,-0.62758974873064,0.713,0.959,1.05257115696686e-77
"KIFAP3",9.95793171972336e-82,-0.610402626968756,0.428,0.719,2.58866392985928e-77
"SOX5",1.29221182798157e-81,-1.13197049664955,0.505,0.719,3.3592338680209e-77
"KIF1B",2.40327512774116e-81,0.641628893243863,0.887,0.84,6.24755402207591e-77
"TBC1D5",1.468836550461e-80,-0.63767746650422,0.617,0.866,3.81838749657842e-76
"MT-ND5",1.2720699972193e-79,-0.488282972802164,0.514,0.903,3.30687316477128e-75
"SUPT3H",1.0460990957844e-78,-0.699231001212567,0.659,0.874,2.71943920940111e-74
"KCTD16",1.11004710371377e-78,-0.764169251372254,0.605,0.84,2.88567845081432e-74
"MT-CO1",1.14852151555088e-78,-0.575125946000314,0.844,0.988,2.98569653182606e-74
"MMP16",2.00079880635373e-78,-0.875420850639487,0.421,0.688,5.20127657699716e-74
"ATP8A1",3.4518650766618e-77,-0.609199219046044,0.473,0.757,8.97346845329001e-73
"ABR",5.03136534184688e-77,1.02358852458282,0.771,0.676,1.30795373426652e-72
"MAPK10",2.39582804191994e-76,-0.514049606994019,0.819,0.961,6.22819457777507e-72
"VWA8",7.98606636389437e-75,-0.581730999321699,0.523,0.789,2.07605781195798e-70
"ATRNL1",2.82199406194791e-74,-0.797803083987032,0.793,0.938,7.33605576343979e-70
"MTX2",7.49036656467972e-74,-0.531789792658769,0.279,0.569,1.94719569215414e-69
"AC105402.3",2.4090654012552e-73,-0.375166454324633,0.474,0.891,6.26260641710303e-69
"CLVS2",2.8018804226052e-73,-0.585202358691313,0.352,0.644,7.28376834660448e-69
"FGF14",4.60112787168729e-73,-0.551511615306426,0.965,0.998,1.19610920152383e-68
"AP001347.1",1.4704574925809e-72,-0.807006055044677,0.326,0.622,3.8226012977133e-68
"LINC00882",1.84355403086362e-72,-0.595740016462449,0.498,0.789,4.79250305863307e-68
"MT-ND4L",7.79722337354369e-72,-0.433678988529557,0.33,0.722,2.02696618818642e-67
"TBCK",1.45994176362091e-71,-0.580024127982877,0.534,0.812,3.7952646087089e-67
"MT-ND4",5.80639591317339e-71,-0.435918342876064,0.706,0.967,1.50943068158856e-66
"SLIT2",7.57030929408402e-71,-1.06389142862983,0.445,0.677,1.96797760409008e-66
"CNTNAP2",9.47680302675629e-71,-0.491629394599663,0.988,0.999,2.46358971483556e-66
