"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SRGAP1",6.2173030602366e-33,-1.89446832951316,0.331,0.73,1.61625010353911e-28
"HSPH1",9.2774115461617e-29,-2.83944181024439,0.176,0.586,2.4117559055402e-24
"P4HA1",2.68379804986129e-24,-2.85734541343474,0.327,0.678,6.9768014104194e-20
"ST6GALNAC3",3.62882579771003e-24,-1.41307046575337,0.471,0.822,9.43349554372698e-20
"CSGALNACT1",4.38065775041229e-24,-1.5504567214043,0.273,0.672,1.13879578879718e-19
"ARHGAP24",1.43263833710981e-23,-1.04215405068953,0.695,0.92,3.72428662115066e-19
"ITPR2",1.56117259227722e-23,-0.959970602243595,0.877,0.983,4.05842427088385e-19
"NRP1",4.6254282413937e-23,1.92933651286795,0.583,0.178,1.20242632563271e-18
"MEF2A",6.76706025681139e-22,-0.927421656165386,0.871,0.931,1.75916498436069e-17
"AC007262.2",5.68072604197444e-21,-1.27842550742851,0.101,0.414,1.47676154187168e-16
"LYVE1",4.87061680047054e-20,-0.953240608115545,0.011,0.213,1.26616554345032e-15
"SLC1A3",1.3535535937031e-19,-1.13047631668817,0.708,0.914,3.51869792219057e-15
"ATP2C1",1.51063048779552e-19,-1.53859627522951,0.458,0.741,3.92703501607324e-15
"CCNH",2.06674497543262e-19,-1.18510791267953,0.305,0.644,5.37271023813464e-15
"HSPA1A",2.86289344220474e-19,-1.00361377537374,0.069,0.356,7.44237779235545e-15
"FHIT",3.01766322462882e-19,-1.02289531482398,0.712,0.879,7.84471731874509e-15
"SNAP23",6.95829279564538e-19,-1.18154816902706,0.133,0.454,1.80887779515597e-14
"NR4A3",1.36601089185792e-18,-2.41032492003295,0.024,0.236,3.55108191447385e-14
"MBNL2",6.43520594642972e-18,-1.10704204860586,0.267,0.603,1.67289613783387e-13
"EPB41L2",8.29651504060818e-18,-1.28388820416728,0.77,0.937,2.1567620499565e-13
"SSBP2",9.36137479859283e-18,-1.11634545826542,0.422,0.741,2.43358299264219e-13
"CPED1",4.22894544289053e-17,-1.3524643680921,0.378,0.649,1.09935665733382e-12
"UBE2E2",8.32256425953634e-17,-0.845348212389045,0.772,0.897,2.16353380490907e-12
"ASAP1",8.36681299323494e-17,1.15045457895344,0.718,0.408,2.17503670572135e-12
"IRS2",1.33311652317693e-16,-1.32643454316441,0.058,0.293,3.46556971365075e-12
"AC068992.1",1.8428402670054e-16,1.55512347153228,0.34,0.017,4.79064755810723e-12
"HS3ST4",2.64372614227016e-16,-1.40577664450424,0.368,0.667,6.87263047944551e-12
"PRKCA",3.23076155134343e-16,1.0788553416499,0.888,0.787,8.39868772887238e-12
"BRCA1",5.92638375456377e-16,1.52990157360893,0.353,0.04,1.5406227208364e-11
"MRC1",7.63096518290521e-16,-1.14840553532288,0.071,0.322,1.98374570894804e-11
"CHORDC1",8.73780463554293e-16,-0.972958068810072,0.112,0.379,2.27147969305574e-11
"AC244021.1",1.45458814902739e-15,-1.13144788073981,0.619,0.845,3.78134735221161e-11
"RASSF8",1.61485797039689e-15,-1.27159084668327,0.366,0.638,4.19798477984376e-11
"SEPT9",1.84155149901614e-15,1.30268700803473,0.555,0.236,4.78729727684237e-11
"RNF150",2.2727972617259e-15,-0.945402335563846,0.086,0.345,5.90836376158265e-11
"NFKBIA",2.41434565305303e-15,-1.28871747150939,0.06,0.287,6.27633295967667e-11
"POLQ",4.09356638844971e-15,1.44277326605907,0.308,0.011,1.06416351834139e-10
