"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINGO1",6.20734755710177e-82,1.86366023082676,0.989,0.943,1.61366207094418e-77
"PCDH9",1.02662424226959e-76,-1.18054738523575,0.925,0.998,2.66881238020404e-72
"CADM2",6.01273231663361e-71,-1.14185950451756,0.898,1,1.56306989303207e-66
"KCNIP4",1.60577986098687e-68,-1.35311834680198,0.844,0.991,4.17438532662148e-64
"FRMD5",3.5866242735077e-64,2.21661549605074,0.911,0.737,9.32378846141062e-60
"LRRTM4",8.94741373873686e-61,-1.0186298544862,0.889,0.998,2.32596967552204e-56
"XKR4",2.5697985154899e-59,-1.63776631077653,0.439,0.88,6.68044822086753e-55
"CSMD3",6.09603499563355e-59,-1.13694699425832,0.744,0.969,1.5847252574649e-54
"SEZ6L",5.57278373388622e-58,-1.41290300917593,0.563,0.906,1.44870085946106e-53
"NRXN1",6.6381450050514e-57,-0.875408577259927,0.933,1,1.72565217551316e-52
"PDZRN4",8.14926007113404e-57,-1.66710544253711,0.399,0.83,2.11848164809201e-52
"TNC",7.2949118872856e-55,1.88650180454373,0.515,0.078,1.89638529421877e-50
"PCDH15",6.41112859888961e-54,-0.914524931311185,0.898,0.998,1.66663699056734e-49
"VCAN",3.35263540504701e-50,-1.02293874171439,0.776,0.981,8.7155109989602e-46
"CNTNAP5",1.108788631361e-49,-1.31141674406307,0.509,0.906,2.88240692608606e-45
"TRIO",2.92013417513889e-49,1.39415971089431,0.957,0.919,7.59118080169106e-45
"GRID2",7.38840807821669e-49,-0.903148086117348,0.836,0.988,1.92069056401321e-44
"ADGRB3",1.70288780020588e-47,-0.855731034155112,0.857,0.988,4.42682712541521e-43
"CNTN1",4.66905603914106e-45,-0.963882886696169,0.668,0.936,1.21376780793511e-40
"DSCAM",2.24377182398941e-44,-0.836439469451689,0.943,0.997,5.83290923364288e-40
"KIAA1211L",2.94958553943999e-44,1.58503422668223,0.474,0.092,7.66774256832819e-40
"DLG2",3.50851110880842e-44,-0.823884803579761,0.895,0.974,9.12072547845837e-40
"DCC",8.83115705137056e-44,-1.08453225528207,0.704,0.925,2.29574758707429e-39
"ANKS1B",1.09706951479258e-43,-1.00628267751532,0.806,0.971,2.85194191065479e-39
"PVT1",1.25960259450809e-43,1.60431414039715,0.623,0.244,3.27446290468323e-39
"SORBS1",2.61344300279673e-43,1.14648332251066,0.914,0.711,6.79390643007037e-39
"ASTN2",1.05244119087164e-42,-0.969786166849773,0.712,0.951,2.73592611978991e-38
"SLC26A3",2.12333093165521e-42,1.81364367753078,0.978,0.887,5.51981108993089e-38
"AL589740.1",4.28084711414025e-42,-1.36324834122023,0.388,0.775,1.1128490157919e-37
"PLPPR1",9.03513020875839e-42,-1.2095768599475,0.442,0.828,2.34877244906883e-37
"NEAT1",4.90590712431098e-41,2.49513359708753,0.671,0.317,1.27533961603588e-36
"PTPRT",2.06480769697366e-40,-1.38851070563069,0.426,0.766,5.36767408905272e-36
"KCND2",3.54659633111514e-40,-0.991034498936144,0.795,0.972,9.21973182236693e-36
"GAP43",1.49086645753993e-39,1.53746606732708,0.542,0.153,3.8756564430208e-35
"DAB1",6.27535531337037e-39,-0.970759230952443,0.739,0.927,1.63134136726376e-34
"GRIA4",8.40767111202151e-39,-1.31277573109072,0.367,0.74,2.18565818228111e-34
"MDGA2",1.29684098947424e-38,-0.747979088576413,0.884,0.99,3.37126783623723e-34
"NXPH1",2.8427118413444e-38,-0.94050644217477,0.666,0.938,7.3899137027589e-34
"CTNNA2",3.28547003962154e-38,-0.924436031899097,0.755,0.953,8.54090791500016e-34
"POU6F2",1.25708085679594e-37,-1.34938433159257,0.27,0.659,3.26790739532672e-33
"LRRC7",1.44187772229501e-37,-0.850600778898771,0.741,0.932,3.74830532687811e-33
"ITGA8",4.36247985272687e-37,-1.35299524851135,0.146,0.548,1.13407026251488e-32
"SGCZ",7.40931250284222e-37,-1.33810967673966,0.523,0.806,1.92612487823886e-32
"GLCCI1",1.12100558835048e-36,-1.22230609449109,0.364,0.744,2.9141661274759e-32
"MAGI2",1.72558390568777e-36,-0.853857979222754,0.714,0.948,4.48582792122592e-32
"CDH20",3.7066449274961e-36,-1.14593316043667,0.509,0.825,9.63579415351885e-32
"CSMD1",1.17744071029077e-35,-0.557742761326208,0.978,1,3.06087487047188e-31
"AL392023.2",1.28726016763517e-35,-1.37355724338057,0.146,0.537,3.34636153178438e-31
"AC004852.2",6.83979891897572e-35,-1.02318722737021,0.534,0.891,1.77807412697693e-30
"GRIK1",1.06477918919021e-34,-1.104482784836,0.598,0.879,2.76799998021886e-30
"RORA",1.4659104237549e-34,-0.797577680340947,0.782,0.967,3.81078073759324e-30
"NCKAP5",1.65217646001237e-34,-0.935600014985561,0.628,0.893,4.29499792544815e-30
"ERBB4",2.71465118187801e-34,-0.8118186715428,0.838,0.986,7.05700721241006e-30
"ATP13A4",4.01237279384028e-34,-1.11139157918753,0.305,0.681,1.04305643148672e-29
"FHIT",4.63048997435909e-34,-1.003151015458,0.682,0.901,1.20374217373439e-29
"LHFPL3",4.73514884174139e-34,-0.737046255307308,0.949,1,1.23094929289909e-29
"SOX5",5.10884796872322e-34,-0.815324456880372,0.768,0.95,1.32809611794929e-29
"LINC01322",9.82811849257282e-34,-1.24294648707273,0.342,0.698,2.55491768332923e-29
"MMD2",1.48301146882139e-33,-0.986168410903459,0.499,0.849,3.85523661434808e-29
"IL1RAPL1",3.06994582807524e-33,-0.678396830206128,0.863,0.984,7.9806311746644e-29
"NAV3",1.06462441183013e-32,-0.822712413765859,0.728,0.929,2.7675976209936e-28
"FGF12",1.90088970524451e-32,-0.939846633485859,0.663,0.915,4.94155287775364e-28
"NALCN",3.79918594890323e-32,-1.00332817548994,0.456,0.792,9.87636379276883e-28
"GALNT13",5.26450300718635e-32,-0.966934763318326,0.698,0.919,1.36856020174816e-27
"HIF3A",7.84279653259407e-32,-1.04576244072761,0.21,0.608,2.03881338661315e-27
"PFKFB3",1.84867454214569e-31,1.42391485219294,0.518,0.201,4.80581433976193e-27
"VEGFA",2.04050925893759e-31,1.25657415204495,0.472,0.14,5.30450786953417e-27
"NLGN1",3.05392633694024e-31,-0.737077255121873,0.96,0.998,7.93898690550984e-27
"SNED1",1.06699079637194e-30,1.28143842041732,0.345,0.061,2.77374927424848e-26
"GLIS3",1.19965549481179e-30,1.52548138128747,0.539,0.205,3.11862442431273e-26
"GPC6",1.46062825273331e-30,-0.975807094570142,0.496,0.797,3.7970492058055e-26
"MTRNR2L8",3.88356056046485e-30,-1.65984011802988,0.159,0.52,1.00957040329844e-25
"MIR3681HG",4.88086856408997e-30,-1.21961103266675,0.332,0.69,1.26883059192083e-25
"ADARB2",5.84227438998495e-30,-0.787723308657474,0.779,0.972,1.51875765042049e-25
"LSAMP",7.9618038481581e-30,-0.59435206087103,0.965,1,2.06975052836718e-25
"LRRN1",1.49401659958562e-29,-0.96140926820459,0.288,0.643,3.88384555228278e-25
"ZFPM2",1.65657054604131e-29,-0.885775423462554,0.668,0.891,4.30642079148898e-25
"REV3L",5.87700031477512e-29,-0.897502672596787,0.714,0.912,1.52778500182894e-24
"LINC02283",7.12577169932739e-29,-1.16192395409565,0.097,0.43,1.85241561095715e-24
"CNTN3",1.45325725959953e-28,-1.04233228040743,0.224,0.575,3.77788757205493e-24
"TAOK3",3.49308833854466e-28,-0.782501138278436,0.687,0.901,9.08063244488069e-24
"RASGEF1B",4.24650298777451e-28,1.07005094148276,0.984,0.969,1.10392091670186e-23
"VMP1",8.95287242731211e-28,1.53191853088643,0.542,0.26,2.32738871620406e-23
"MARCH1",8.98215717264109e-28,-0.683213582883383,0.747,0.936,2.33500157859978e-23
"LUZP2",1.16726281115519e-27,-0.614565765617337,0.814,0.962,3.03441640387902e-23
"XYLT1",2.48605641136559e-27,-0.727534630174195,0.787,0.965,6.462752246986e-23
"PCDH7",3.58281147012945e-27,-0.861639448243752,0.636,0.877,9.31387669774851e-23
"DPP10",9.2753469252859e-27,-0.777825157272388,0.714,0.908,2.41121918669732e-22
"PKNOX2",1.08174190453551e-26,1.15811380023713,0.685,0.43,2.81209625503051e-22
"RDH10",1.21967767946262e-26,1.66508147238467,0.345,0.081,3.17067409553102e-22
"FCHSD2",2.12584126110498e-26,-0.798008902312247,0.623,0.86,5.52633694236851e-22
