"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SYT1",5.57891620941145e-78,-1.10358642376516,0.967,1,1.4502950577986e-73
"CADM2",8.56189790396835e-63,-1.02686274277603,0.982,0.998,2.22575097911561e-58
"LRRTM4",4.26327539024882e-54,-1.33485115985834,0.832,0.936,1.10828107044908e-49
"ADGRB3",1.10822279726334e-50,-0.749328567309711,0.991,1,2.88093598376577e-46
"KCNIP4",1.24498032179804e-50,-1.36404886580364,0.901,0.969,3.23645084454618e-46
"CNTN1",1.27828141124004e-48,-0.840623885064195,0.856,0.986,3.32302035665961e-44
"NEGR1",2.48480156655316e-46,-0.965415341281421,0.919,0.998,6.45949015241159e-42
"NRXN1",2.29144862466224e-45,-1.02783592993082,0.91,0.996,5.95684984467195e-41
"ADGRL2",1.14335253914161e-44,-1.29999362498689,0.632,0.864,2.97225926075253e-40
"PDE4DIP",9.20898540080686e-42,0.822193924104296,0.988,0.965,2.39396784479375e-37
"TUBA1B",1.83653041502632e-41,-1.06999190351685,0.263,0.741,4.77424446690243e-37
"PTPRS",2.13970160318909e-39,1.02739247308195,0.901,0.753,5.56236828765035e-35
"MALAT1",4.8690260089526e-39,0.811267969801465,1,1,1.26575200128732e-34
"GRM5",9.43595325282092e-39,-0.750303352593165,0.862,0.977,2.45297040760333e-34
"OSBP2",2.52899618976599e-38,1.00283450806171,0.889,0.823,6.57437849491566e-34
"RALYL",2.91046557211737e-38,-1.18597921121857,0.766,0.911,7.56604630127631e-34
"GPM6A",5.49149241110159e-37,-0.727044655214541,0.868,0.981,1.42756836718997e-32
"ANKS1B",2.70874771087917e-36,-0.539586703081095,0.982,1,7.0416605492015e-32
"KHDRBS2",6.75035812636441e-36,-0.765610611631583,0.904,0.996,1.75482309852969e-31
"KCNQ5",7.62748981851612e-35,-0.939692322911642,0.844,0.955,1.98284225322145e-30
"IGSF9B",9.15656649359164e-35,1.59230627315481,0.713,0.461,2.38034102567408e-30
"PDE4D",2.97318567544307e-34,-0.790028104640607,0.964,0.996,7.7290934818818e-30
"OLFM3",4.50977016974045e-34,-0.952549510395395,0.623,0.912,1.17235985332573e-29
"MAPK10",5.54791709283214e-34,-0.630065715749596,0.901,0.981,1.44223652745264e-29
"DLG2",8.16593684967717e-34,-0.488645663912489,0.994,0.998,2.12281694344208e-29
"DNM1",1.68984345105363e-33,0.87989358418156,0.913,0.804,4.39291703535901e-29
"MIR137HG",9.04139701506988e-33,-1.05336763617807,0.443,0.753,2.35040156803757e-28
